entrez_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_id,hgnc_symbol,weight
1958,0.100017219081944,8.92857059523159e-12,2.74754999813767,0.0069806756067788,0.539458606359798,-2.58298264531461,ENSG00000120738,EGR1,0.623610157409715
195814,-0.0439703392590947,7.14285708517776e-11,-2.18735939204487,0.0307567334098423,0.737705362992496,-3.83331116748636,ENSG00000170786,SDR16C5,0.835522186807648
195827,-0.0239777257547581,-4.46428570922541e-11,-0.710701804183531,0.47871966636336,0.976715276366701,-5.83058569252355,ENSG00000158122,PRXL2C,0.989835086289969
195828,0.0126207344344056,3.57142879316543e-11,0.618419005253801,0.537532092615238,0.982510304670914,-5.88898259750061,ENSG00000165244,ZNF367,0.99153372208233
1959,0.0414643796987365,8.92857456612205e-12,1.55830869726596,0.121930324809903,0.862458551446781,-4.92343262204921,ENSG00000122877,EGR2,0.947018839836205
195977,-0.00639226362867171,1.78571425650766e-11,-0.286585134347609,0.774949879901493,0.989385247238393,-6.03224127689711,ENSG00000274209,ANTXRL,0.995622235644968
196,-0.0445532611393326,0.0288299850840934,-1.27035179249797,0.206544381863461,0.911530457211332,-5.30569390413827,ENSG00000106546,AHR,0.96950717351191
1960,-0.00856964977989272,-0.0131289867610883,-0.485562821970537,0.628208521686161,0.986309102804256,-5.95890013235657,ENSG00000179388,EGR3,0.993496398626107
196051,-0.00311084784105159,8.92857124575289e-12,-0.123099851968435,0.902244664062076,0.996723969708199,-6.06424591744553,ENSG00000203805,PLPP4,0.996839313373784
196074,0.0100860252272204,-0.00673238016839589,0.482141918934517,0.630628986114012,0.986309102804256,-5.96047929084561,ENSG00000169519,METTL15,0.993540456688962
1961,-0.00143872153307393,2.67857153345208e-11,-0.0765682632100652,0.93910114407771,0.997731412964149,-6.06868704820695,ENSG00000135625,EGR4,0.997119375749895
1962,-0.0351578490946659,-2.6785714386812e-11,-1.73291561368357,0.0858132015466148,0.83255926443417,-4.65542862403527,ENSG00000113790,EHHADH,0.926502732928818
196264,0.00489001258237717,1.78571437015529e-11,0.200913697386709,0.841123867137447,0.993529902688807,-6.05219589346733,ENSG00000160588,MPZL3,0.996309046256845
196294,0.00535307958463195,0.0103188232589354,0.252243854225738,0.801306531453339,0.991575089315503,-6.04108132481512,ENSG00000148950,IMMP1L,0.995911630490275
196335,0.0158117872418659,4.41425170226241e-19,0.809932050545218,0.419665646387887,0.968488002138803,-5.75883472367101,ENSG00000180919,OR56B4,0.987631245479465
196374,0.00123387639578708,-8.92857114507698e-12,0.0562302896769245,0.955256727776681,0.998973012680437,-6.06997815450425,ENSG00000170423,KRT78,0.997233879201955
196383,0.0163541191898036,0.149283192250411,0.531307389951893,0.596238878944275,0.983780221678051,-5.9367157394371,ENSG00000150977,RILPL2,0.992877759632478
196385,0.010211550387271,0.0262652544942312,0.61978995693369,0.536632199332066,0.982510304670914,-5.88817394467245,ENSG00000281935,DNAH10,0.991510673851697
196394,-0.0491522785653391,-4.46428556053482e-11,-1.62632844018346,0.106639366542512,0.855754527933717,-4.82224711677801,ENSG00000151743,AMN1,0.939763123704908
1964,-0.0188671249665461,0.00733573757677217,-0.77535834752532,0.439732407453596,0.974721745500518,-5.78488559310399,ENSG00000173674,EIF1AX,0.98844806680781
196403,0.0167208428109537,1.21198314281415e-18,0.492911661411514,0.623022543602556,0.986309102804256,-5.95547016997225,ENSG00000178498,DTX3,0.993400740335139
